verdict_id,nomor_putusan,year,stratum,n_chars,est_pages,sample_rank,official_source_url,official_source_note,official_portal
2_PUU-XX_2022,,2022,medium,147723,73,23,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
11_PUU-XXI_2023,,2023,medium,63968,31,24,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
91_PUU-XXII_2024,,2024,medium,161273,80,25,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
89_PUU-XVIII_2020,,2020,medium,88019,44,26,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
79_PUU-XXII_2024,,2024,medium,67946,33,27,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
31_PUU-XX_2022,31/PUU-XX/2022,2022,medium,67971,33,28,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
18_PUU-XVIII_2020,18/PUU-XVIII/2020,2020,medium,110389,55,29,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
21_PUU-XIX_2021,21/PUU-XIX/2021,2021,medium,147921,73,30,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
1_PUU-XIX_2021,1/PUU-XIX/2021,2021,medium,81103,40,31,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
51_PUU-XVII_2019,51/PUU-XVII/2019,2019,medium,83692,41,32,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
118_PUU-XX_2022,118/PUU-XX/2022,2022,medium,64397,32,33,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
30_PUU-XXII_2024,30/PUU-XXII/2024,2024,medium,71341,35,34,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
73_PUU-XVIII_2020,73/PUU-XVIII/2020,2020,medium,84004,42,35,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
69_PUU-XXIII_2025,,2025,long,926877,463,36,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
114_PUU-XXIII_2025,,2025,long,405485,202,37,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
38_PUU-XXIII_2025,,2025,long,263115,131,38,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
37_PUU-XVII_2019,,2019,long,498379,249,39,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
124_PUU-XXI_2023,,2023,long,246968,123,40,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
41_PUU-XXI_2023,,2023,long,566572,283,41,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
92_PUU-XVIII_2020,,2020,long,328059,164,42,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
34_PUU-XXII_2024,,2024,long,503028,251,43,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
60_PUU-XVIII_2020,,2020,long,568476,284,44,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
132_PUU-XXII_2024,,2024,long,703095,351,45,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
30_PUU-XXI_2023,30/PUU-XXI/2023,2023,long,562152,281,46,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
127_PUU-XXI_2023,127/PUU-XXI/2023,2023,long,579063,289,47,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
103_PUU-XVIII_2020,103/PUU-XVIII/2020,2020,long,940994,470,48,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
109_PUU-XXII_2024,109/PUU-XXII/2024,2024,long,208479,104,49,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
49_PUU-XVIII_2020,49/PUU-XVIII/2020,2020,long,683365,341,50,,Search the public MKRI Putusan portal by verdict_id or nomor_putusan.,https://www.mkri.id/index.php?page=web.Putusan
